epoch,acc,dice_coef,iou,loss,lr,val_acc,val_dice_coef,val_iou,val_loss
0,0.7940059900283813,0.1089312881231308,0.06290661543607712,0.8910684585571289,1e-04,0.9721287488937378,0.1568838655948639,0.09003991633653641,0.8431161046028137
1,0.8920196890830994,0.1578897088766098,0.09364935010671616,0.8421105146408081,1e-04,0.8798309564590454,0.1226661205291748,0.06678526103496552,0.8773339986801147
2,0.9291231036186218,0.20362719893455505,0.12363707274198532,0.7963722348213196,1e-04,0.9756424427032471,0.27478447556495667,0.1679518073797226,0.7252154350280762
3,0.9484073519706726,0.24515637755393982,0.15312963724136353,0.7548438906669617,1e-04,0.9280508756637573,0.19436514377593994,0.11196096241474152,0.8056349754333496
4,0.9623841643333435,0.28629493713378906,0.18360978364944458,0.7137047052383423,1e-04,0.9816204905509949,0.36492466926574707,0.24959777295589447,0.6350753307342529
5,0.9692229628562927,0.32153260707855225,0.21044450998306274,0.6784674525260925,1e-04,0.9888179302215576,0.1055862307548523,0.06769784539937973,0.8944137096405029
6,0.972969114780426,0.35395899415016174,0.24027355015277863,0.6460410952568054,1e-04,0.9849145412445068,0.27264344692230225,0.17281460762023926,0.7273566722869873
7,0.9754878878593445,0.37618759274482727,0.2572982609272003,0.623812198638916,1e-04,0.9896856546401978,0.19712625443935394,0.12754355370998383,0.8028738498687744
8,0.9784108996391296,0.4114209711551666,0.28840377926826477,0.5885791182518005,1e-05,0.9844248294830322,0.42613333463668823,0.3054514229297638,0.5738667845726013
9,0.9780624508857727,0.41355589032173157,0.28827089071273804,0.5864441394805908,1e-05,0.9859449863433838,0.47477060556411743,0.33636295795440674,0.5252293944358826
10,0.9794965982437134,0.43243953585624695,0.3073357939720154,0.5675606727600098,1e-05,0.9827950596809387,0.3980028033256531,0.2859344780445099,0.6019972562789917
11,0.979654848575592,0.4270152747631073,0.3043350875377655,0.5729845762252808,1e-05,0.9868265986442566,0.4078690707683563,0.28833672404289246,0.5921308994293213
12,0.9791579842567444,0.42359521985054016,0.30228838324546814,0.576404869556427,1e-05,0.9883283972740173,0.4434163272380829,0.32357898354530334,0.5565836429595947
13,0.9791201949119568,0.42959678173065186,0.3052332401275635,0.570403516292572,1e-06,0.9888176321983337,0.47035396099090576,0.34570246934890747,0.5296460390090942
14,0.9788340926170349,0.42286375164985657,0.29871419072151184,0.577136218547821,1e-06,0.9859609007835388,0.44196105003356934,0.3165203034877777,0.5580389499664307
