epoch,acc,dice_coef,iou,loss,lr,val_acc,val_dice_coef,val_iou,val_loss
0,0.914142906665802,0.14846017956733704,0.08552732318639755,0.8513750433921814,1e-04,0.9816831350326538,0.03682376444339752,0.018896980211138725,0.9631762504577637
1,0.9679584503173828,0.24021700024604797,0.14488068222999573,0.7594318389892578,1e-04,0.9813699126243591,0.03551902994513512,0.01835685409605503,0.964480996131897
2,0.9745725989341736,0.31189730763435364,0.19880324602127075,0.6888388395309448,1e-04,0.9827439785003662,0.20823274552822113,0.12517644464969635,0.7917672991752625
3,0.9779780507087708,0.38435181975364685,0.25836381316185,0.615556001663208,1e-04,0.9839711785316467,0.41049912571907043,0.27654433250427246,0.589500904083252
4,0.9807042479515076,0.41646265983581543,0.28678765892982483,0.583646833896637,1e-04,0.9845648407936096,0.3313092291355133,0.22871927917003632,0.6686909198760986
5,0.9802668690681458,0.42280614376068115,0.2963258624076843,0.577354907989502,1e-04,0.9855248928070068,0.26359155774116516,0.17889468371868134,0.7364084124565125
6,0.9832343459129333,0.478305846452713,0.34500575065612793,0.5211439728736877,1e-04,0.9871852993965149,0.43775680661201477,0.31389978528022766,0.5622431635856628
7,0.9835013151168823,0.47567078471183777,0.3451176583766937,0.5248369574546814,1e-04,0.9848226308822632,0.3944486975669861,0.2842075526714325,0.6055513024330139
8,0.9833691716194153,0.5120298266410828,0.3824459910392761,0.48654431104660034,1e-04,0.9843775629997253,0.2816962003707886,0.20104819536209106,0.718303918838501
9,0.9845560789108276,0.5186135768890381,0.3822712302207947,0.48180052638053894,1e-04,0.9827771782875061,0.18900328874588013,0.1406267285346985,0.8109967112541199
10,0.9864928126335144,0.5313608050346375,0.4009929895401001,0.4701644778251648,1e-05,0.986678957939148,0.4591715335845947,0.3447398245334625,0.5408284664154053
11,0.9861464500427246,0.5584878325462341,0.42508289217948914,0.44200798869132996,1e-05,0.986935019493103,0.4734722077846527,0.35091519355773926,0.5265278816223145
12,0.986931562423706,0.5657182931900024,0.4330015182495117,0.4336337447166443,1e-05,0.9868382215499878,0.4919222593307495,0.36530202627182007,0.5080776810646057
13,0.9865782856941223,0.5636295676231384,0.4315681755542755,0.4367840588092804,1e-05,0.9884338974952698,0.5091702938079834,0.3849658966064453,0.4908296465873718
14,0.9861120581626892,0.5672873854637146,0.43848493695259094,0.4337713122367859,1e-05,0.9875479936599731,0.47009894251823425,0.35377535223960876,0.5299010276794434
15,0.9873760342597961,0.5792410969734192,0.4496350586414337,0.4205223321914673,1e-05,0.9877154231071472,0.4914182722568512,0.37278708815574646,0.5085816979408264
16,0.9874446392059326,0.5742311477661133,0.4437757134437561,0.42458072304725647,1e-05,0.9878058433532715,0.4824371337890625,0.374937504529953,0.5175629258155823
17,0.987308144569397,0.5873578786849976,0.4543960690498352,0.4129026532173157,1e-06,0.9878631234169006,0.499731183052063,0.37587282061576843,0.5002688765525818
18,0.9878819584846497,0.5911194086074829,0.45840543508529663,0.40882593393325806,1e-06,0.9873822927474976,0.43045154213905334,0.31302350759506226,0.5695484280586243
