epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.7091144919395447,0.06480695307254791,0.9351761937141418,1e-04,0.872719943523407,0.08703720569610596,0.912962794303894
1,0.8643628358840942,0.08840660750865936,0.911527693271637,1e-04,0.9172921180725098,0.10447639226913452,0.8955235481262207
2,0.915504515171051,0.10634154826402664,0.8939315676689148,1e-04,0.9582094550132751,0.13173577189445496,0.8682642579078674
3,0.9406682848930359,0.12219978123903275,0.8777719736099243,1e-04,0.9702605605125427,0.1547648161649704,0.845235288143158
4,0.9469378590583801,0.1388176530599594,0.8609001636505127,1e-04,0.9646638035774231,0.1763482242822647,0.8236517906188965
5,0.9587674140930176,0.15714798867702484,0.8424320816993713,1e-04,0.9648328423500061,0.18218186497688293,0.8178182244300842
6,0.9672383666038513,0.1787731796503067,0.821423351764679,1e-04,0.9750000238418579,0.2203291952610016,0.779670774936676
7,0.9726572036743164,0.21098710596561432,0.7891055345535278,1e-04,0.9821945428848267,0.2665593922138214,0.7334405779838562
8,0.9760692119598389,0.23162376880645752,0.7680329084396362,1e-04,0.9833608269691467,0.27329280972480774,0.7267072200775146
9,0.9790931940078735,0.25400909781455994,0.7465593218803406,1e-04,0.9733554720878601,0.2893012762069702,0.710698664188385
10,0.9793968796730042,0.29265204071998596,0.7075018882751465,1e-04,0.981521725654602,0.37142202258110046,0.6285780668258667
11,0.9839423298835754,0.3140440881252289,0.6856868863105774,1e-04,0.9862871170043945,0.3789297938346863,0.6210702657699585
12,0.9838461875915527,0.35386550426483154,0.6459469795227051,1e-04,0.9848019480705261,0.4308825135231018,0.569117546081543
13,0.9869853854179382,0.3850826919078827,0.6146098971366882,1e-04,0.9867610931396484,0.44176265597343445,0.5582374930381775
14,0.986108660697937,0.4019555449485779,0.5980051159858704,1e-04,0.9858876466751099,0.485630601644516,0.5143694281578064
15,0.9873268604278564,0.4303662180900574,0.5693278908729553,1e-04,0.9878690242767334,0.5202093124389648,0.4797906279563904
16,0.9884387254714966,0.4505530595779419,0.5493800044059753,1e-04,0.9864674210548401,0.5130259990692139,0.4869740307331085
17,0.9891307353973389,0.4785812795162201,0.5203207731246948,1e-04,0.9877288937568665,0.5377647876739502,0.4622351825237274
18,0.9897571206092834,0.5080944299697876,0.4919779300689697,1e-04,0.9884393811225891,0.565800130367279,0.4341999888420105
19,0.9901077747344971,0.4930140972137451,0.5071073174476624,1e-04,0.9876930117607117,0.5371755957603455,0.46282440423965454
20,0.9899736046791077,0.5158601999282837,0.4841840863227844,1e-04,0.9790617227554321,0.4566618502140045,0.5433381199836731
21,0.9914878010749817,0.5430326461791992,0.4567709267139435,1e-04,0.987188994884491,0.5695563554763794,0.4304436147212982
22,0.9910445213317871,0.5601346492767334,0.4387156069278717,1e-04,0.9869917035102844,0.5732941627502441,0.4267057180404663
23,0.9907903075218201,0.566882312297821,0.4325219392776489,1e-04,0.9898369908332825,0.5476766228675842,0.452323317527771
24,0.9922168850898743,0.5692903399467468,0.4287332594394684,1e-04,0.9891045689582825,0.5637103915214539,0.43628957867622375
25,0.9915828704833984,0.582979679107666,0.4167206287384033,1e-04,0.9889602661132812,0.5429596900939941,0.4570404291152954
26,0.9923148155212402,0.5928272008895874,0.40647390484809875,1e-05,0.990212619304657,0.5521987080574036,0.44780129194259644
27,0.9929600358009338,0.6093389987945557,0.39058372378349304,1e-05,0.9873167276382446,0.5148652791976929,0.4851347506046295
