epoch,acc,dice_coef,iou,loss,lr,val_acc,val_dice_coef,val_iou,val_loss
0,0.877816379070282,0.10986900329589844,0.06241249293088913,0.8901310563087463,0.001,0.9276525378227234,0.19149604439735413,0.11811159551143646,0.8085039854049683
1,0.9643991589546204,0.22188176214694977,0.13465426862239838,0.7781184315681458,0.001,0.9280682802200317,0.28170159459114075,0.18778038024902344,0.7182984352111816
2,0.9711289405822754,0.2862461805343628,0.18405002355575562,0.7137537598609924,0.001,0.9810335040092468,0.21456018090248108,0.13466989994049072,0.7854398488998413
3,0.9745222926139832,0.3071538209915161,0.2001892477273941,0.6928461790084839,0.001,0.9842386841773987,0.05830944702029228,0.034314148128032684,0.9416905641555786
4,0.9753133654594421,0.3202309310436249,0.21263867616653442,0.6797694563865662,0.001,0.9771449565887451,0.25379934906959534,0.16686256229877472,0.746200680732727
5,0.9757921695709229,0.33088141679763794,0.22069284319877625,0.6691187620162964,0.000100000005,0.9812644124031067,0.1721467226743698,0.10918507725000381,0.827853262424469
6,0.9766499400138855,0.33763664960861206,0.22881759703159332,0.6623634696006775,0.000100000005,0.9838116765022278,0.20190218091011047,0.13050545752048492,0.7980977892875671
