epoch,acc,dice_coef,iou,loss,lr,val_acc,val_dice_coef,val_iou,val_loss
0,0.946743905544281,0.2898273766040802,0.1884816288948059,0.7100080847740173,1e-04,0.9689009189605713,nan,nan,nan
1,0.9828900694847107,0.4449528455734253,0.315890908241272,0.5549232363700867,1e-04,0.9685894846916199,nan,nan,nan
2,0.9843356013298035,0.49338191747665405,0.357654333114624,0.506162166595459,1e-04,0.9723328351974487,nan,nan,nan
3,0.986258327960968,0.5217972993850708,0.3841840922832489,0.4766157567501068,1e-05,0.9720592498779297,nan,nan,nan
4,0.986168622970581,0.5325309634208679,0.39783594012260437,0.4663522243499756,1e-05,0.9724037647247314,nan,nan,nan
