epoch,acc,dice_coef,iou,loss,lr,val_acc,val_dice_coef,val_iou,val_loss
0,0.8156235814094543,0.10584700107574463,0.061173949390649796,0.8941526412963867,1e-04,0.8303614854812622,0.13480740785598755,0.07984985411167145,0.8651925921440125
1,0.9039132595062256,0.15398791432380676,0.09160419553518295,0.8460119366645813,1e-04,0.8314856886863708,0.15344154834747314,0.08969975262880325,0.8465585112571716
2,0.9397973418235779,0.2124674916267395,0.12930592894554138,0.7875324487686157,1e-04,0.8061420917510986,0.1521333009004593,0.08967702835798264,0.8478666543960571
3,0.9589500427246094,0.27309125661849976,0.16982883214950562,0.7269083857536316,1e-04,0.9635494351387024,0.2839708626270294,0.1852460503578186,0.7160292267799377
4,0.969593346118927,0.32483968138694763,0.2098989188671112,0.6751605272293091,1e-04,0.9042272567749023,0.2530590295791626,0.15986672043800354,0.7469408512115479
5,0.9763022065162659,0.3723771572113037,0.2497083693742752,0.627622663974762,1e-04,0.9322787523269653,0.2967803180217743,0.1976834535598755,0.7032197713851929
6,0.9790074825286865,0.40337711572647095,0.27829286456108093,0.59662264585495,1e-04,0.982047975063324,0.14721937477588654,0.08666382730007172,0.8527805805206299
7,0.9796193838119507,0.4192325472831726,0.29584604501724243,0.5807675123214722,1e-04,0.9839605689048767,0.2170117050409317,0.15888206660747528,0.7829883098602295
8,0.9803717732429504,0.4282473027706146,0.3012342154979706,0.5717527270317078,1e-04,0.9754403233528137,0.3588847815990448,0.245952308177948,0.6411153078079224
9,0.982252299785614,0.4479321539402008,0.31967103481292725,0.5520676970481873,1e-04,0.9828161001205444,0.1878351867198944,0.12088942527770996,0.8121647238731384
10,0.9816436171531677,0.4535658061504364,0.3264620006084442,0.5464340448379517,1e-04,0.9795754551887512,0.35959604382514954,0.25393185019493103,0.6404039263725281
11,0.9812521934509277,0.45009082555770874,0.3234676420688629,0.549909234046936,1e-04,0.9843783378601074,0.23222438991069794,0.16282862424850464,0.7677755355834961
12,0.9824714064598083,0.45789477229118347,0.3289135992527008,0.5421053171157837,1e-04,0.9843829274177551,0.17752386629581451,0.12129499018192291,0.8224762082099915
13,0.9827385544776917,0.47381532192230225,0.3446536660194397,0.5261846780776978,1e-04,0.8701775074005127,0.1896006315946579,0.1146802008152008,0.8103995323181152
14,0.98187255859375,0.4716602563858032,0.3440166711807251,0.528339684009552,1e-05,0.9800727963447571,0.3736148178577423,0.2700774073600769,0.6263851523399353
15,0.9836990237236023,0.48034417629241943,0.35108575224876404,0.5196557641029358,1e-05,0.9836376309394836,0.3795205354690552,0.28069281578063965,0.6204794049263
16,0.9837597012519836,0.4956829845905304,0.36475762724876404,0.504317045211792,1e-05,0.981631875038147,0.41091275215148926,0.3033013343811035,0.5890873074531555
17,0.984782338142395,0.5082955360412598,0.37834951281547546,0.49170437455177307,1e-05,0.9840163588523865,0.3971824049949646,0.28365880250930786,0.6028175950050354
18,0.9844127297401428,0.4885267913341522,0.35776132345199585,0.5114732384681702,1e-05,0.9877171516418457,0.4018738269805908,0.2963794767856598,0.598126232624054
19,0.984675407409668,0.4974757432937622,0.36639779806137085,0.5025243163108826,1e-05,0.9844611287117004,0.39891061186790466,0.2874578535556793,0.6010892987251282
20,0.98490971326828,0.516710638999939,0.38447868824005127,0.4832894802093506,1e-06,0.9861423373222351,0.5176673531532288,0.3940145969390869,0.48233267664909363
21,0.9848998785018921,0.5155805945396423,0.38571274280548096,0.4844193160533905,1e-06,0.9866237640380859,0.43215861916542053,0.31828173995018005,0.5678413510322571
22,0.9847816824913025,0.5147045850753784,0.38588833808898926,0.48529547452926636,1e-06,0.9856672883033752,0.4295680820941925,0.3167833089828491,0.5704318881034851
23,0.9845748543739319,0.516802191734314,0.3853631913661957,0.4831978380680084,1e-06,0.9834626317024231,0.4693627655506134,0.3425501883029938,0.530637264251709
24,0.984574019908905,0.5209779143333435,0.3893026113510132,0.4790220260620117,1e-07,0.9844315648078918,0.4126719534397125,0.30846351385116577,0.5873280763626099
25,0.984878659248352,0.5092176198959351,0.38019415736198425,0.4907824397087097,1e-07,0.9843674302101135,0.3983040452003479,0.28768059611320496,0.6016960144042969
