epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.7683398723602295,0.07624425739049911,0.9237557649612427,1e-04,0.8757386803627014,0.07169073075056076,0.9283092021942139
1,0.850275456905365,0.09597218781709671,0.9040277600288391,1e-04,0.8561837077140808,0.07238772511482239,0.9276122450828552
2,0.9103001952171326,0.11582426726818085,0.8841759562492371,1e-04,0.9346800446510315,0.09686259180307388,0.9031373858451843
3,0.933749258518219,0.13181918859481812,0.8681813478469849,1e-04,0.9505857825279236,0.10599798709154129,0.8940020799636841
4,0.950092613697052,0.15178151428699493,0.8482183814048767,1e-04,0.9689429998397827,0.13197654485702515,0.8680235743522644
5,0.9591934680938721,0.17163877189159393,0.8283610939979553,1e-04,0.9725960493087769,0.16369611024856567,0.8363038897514343
6,0.9643427133560181,0.1905573308467865,0.8094425797462463,1e-04,0.9615107774734497,0.18791218101978302,0.8120877742767334
7,0.9725179076194763,0.2174278348684311,0.7825716137886047,1e-04,0.975845456123352,0.2184046506881714,0.7815954089164734
8,0.9760174751281738,0.2499707043170929,0.7500293850898743,1e-04,0.9836570024490356,0.2897929847240448,0.710206925868988
9,0.9801453351974487,0.2830260396003723,0.7169736623764038,1e-04,0.9808861613273621,0.3143535554409027,0.6856464743614197
10,0.9818317294120789,0.3169083893299103,0.6830909848213196,1e-04,0.9894458055496216,0.3697039783000946,0.6302960515022278
11,0.984893798828125,0.3477940559387207,0.6522061824798584,1e-04,0.9814269542694092,0.3585442900657654,0.6414558291435242
12,0.9840306639671326,0.370362251996994,0.629637598991394,1e-04,0.9914901852607727,0.4486558437347412,0.5513442158699036
13,0.9858477115631104,0.39756667613983154,0.6024333238601685,1e-04,0.991621732711792,0.47645047307014465,0.523549497127533
14,0.987006664276123,0.4335061311721802,0.5664941668510437,1e-04,0.9842408895492554,0.44639989733695984,0.5536001324653625
15,0.9878382682800293,0.4466245472431183,0.5533753037452698,1e-04,0.9899882078170776,0.546802282333374,0.4531976580619812
16,0.9876509308815002,0.4684407413005829,0.5315593481063843,1e-04,0.9906697869300842,0.532330334186554,0.46766963601112366
17,0.9882400035858154,0.48366257548332214,0.5163373351097107,1e-04,0.9928143620491028,0.6212027072906494,0.3787972927093506
18,0.9894686341285706,0.5101625919342041,0.4898373484611511,1e-04,0.9879957437515259,0.40188443660736084,0.5981155037879944
19,0.9899146556854248,0.5242640376091003,0.47573593258857727,1e-04,0.9902583360671997,0.5216302871704102,0.47836965322494507
20,0.9908578395843506,0.5359123945236206,0.46408772468566895,1e-04,0.9839937090873718,0.5212549567222595,0.47874507308006287
21,0.9910876750946045,0.5587823390960693,0.44121795892715454,1e-05,0.9881159067153931,0.5990741848945618,0.4009256958961487
22,0.9920684695243835,0.5805835127830505,0.41941675543785095,1e-05,0.9923404455184937,0.6280570030212402,0.3719429075717926
23,0.9921771287918091,0.5698416829109192,0.43015822768211365,1e-05,0.9925196766853333,0.5799993276596069,0.4200006425380707
24,0.9928416609764099,0.588497519493103,0.4115023612976074,1e-05,0.9910753965377808,0.6086645722389221,0.39133530855178833
25,0.9921667575836182,0.5811953544616699,0.41880467534065247,1e-05,0.9906682968139648,0.5770182609558105,0.42298176884651184
26,0.9923819899559021,0.5893071293830872,0.41069290041923523,1e-06,0.992409884929657,0.6302108764648438,0.36978909373283386
27,0.9923123121261597,0.5791339874267578,0.42086586356163025,1e-06,0.9904044270515442,0.5700702667236328,0.42992979288101196
28,0.9921861290931702,0.5852425694465637,0.41475725173950195,1e-06,0.9929545521736145,0.6392196416854858,0.36078038811683655
29,0.9925647377967834,0.5915148854255676,0.40848517417907715,1e-06,0.9911797642707825,0.5744327306747437,0.4255673289299011
30,0.9926112294197083,0.5771071314811707,0.4228929281234741,1e-06,0.9912843108177185,0.6004566550254822,0.39954349398612976
31,0.9927950501441956,0.590408980846405,0.40959101915359497,1e-06,0.9916701912879944,0.5475407838821411,0.4524591565132141
32,0.9930598139762878,0.5915251970291138,0.4084748923778534,1e-07,0.9919409155845642,0.5913960933685303,0.4086039364337921
33,0.9928088188171387,0.5881999135017395,0.4118001163005829,1e-07,0.9932488203048706,0.6221683621406555,0.37783151865005493
