epoch,acc,dice_coef,iou,loss,lr,val_acc,val_dice_coef,val_iou,val_loss
0,0.9580288529396057,0.20496977865695953,0.1307908147573471,0.7952741384506226,1e-04,0.9816831350326538,5.680309850919162e-21,1.372297935351272e-19,1.0
1,0.9818881750106812,2.186016012828998e-16,1.094786775603733e-16,1.0,1e-04,0.9812209606170654,1.6169137021123745e-24,1.4327069354860197e-19,1.0
2,0.9816766977310181,1.1923008814320617e-20,1.8292880819229705e-19,1.0,1e-04,0.9820843935012817,3.5799379570229785e-24,1.7090078782986054e-19,1.0
3,0.982012927532196,4.243543575044652e-21,1.613914031856773e-19,1.0,1e-04,0.9824246168136597,1.2423133391144749e-24,1.2420971219960113e-19,1.0
4,0.981445848941803,8.710918055631349e-19,6.095271112125754e-19,1.0,1e-05,0.9831770062446594,1.6221354682668718e-24,1.621898909707324e-19,1.0
5,0.9816710948944092,0.002354191616177559,0.0023640659637749195,0.9976374506950378,1e-05,0.983006477355957,2.6251038727870867e-24,2.6250894686918283e-19,1.0
