epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.6226692795753479,0.06478312611579895,0.9351959824562073,1e-04,0.852785050868988,0.11842047423124313,0.8815795183181763
1,0.7786656618118286,0.0884813442826271,0.9114348888397217,1e-04,0.8580637574195862,0.14477485418319702,0.8552250266075134
2,0.8505105376243591,0.11349464952945709,0.8868646621704102,1e-04,0.9106944799423218,0.18623854219913483,0.8137614130973816
3,0.8889593482017517,0.14002002775669098,0.8599299788475037,1e-04,0.9339749217033386,0.24143826961517334,0.7585616111755371
4,0.9162589907646179,0.1721699982881546,0.8274862170219421,1e-04,0.9435068368911743,0.2512897849082947,0.7487100958824158
5,0.935034453868866,0.20411181449890137,0.7953738570213318,1e-04,0.94512939453125,0.2572842836380005,0.7427157163619995
6,0.9506127834320068,0.24312400817871094,0.7571309208869934,1e-04,0.9727350473403931,0.30096620321273804,0.6990338563919067
7,0.9679870009422302,0.31026580929756165,0.6901856660842896,1e-04,0.9846850633621216,0.32738277316093445,0.6726171970367432
8,0.9768373966217041,0.36589154601097107,0.6337893009185791,1e-04,0.9823991060256958,0.34976813197135925,0.6502318978309631
9,0.9833275079727173,0.4266010820865631,0.5741380453109741,1e-04,0.9858219027519226,0.40828198194503784,0.5917180180549622
10,0.9857416749000549,0.5054017901420593,0.49450597167015076,1e-04,0.9860841035842896,0.45414212346076965,0.545857846736908
11,0.9866926074028015,0.5175413489341736,0.4825749099254608,1e-04,0.9891673922538757,0.5165416598320007,0.48345834016799927
12,0.9882279634475708,0.5821847915649414,0.4175640642642975,1e-04,0.9870448112487793,0.5096840262413025,0.4903160631656647
13,0.988836944103241,0.6038385629653931,0.39591696858406067,1e-04,0.9895465970039368,0.5797867774963379,0.4202132821083069
14,0.9885280728340149,0.6054064035415649,0.3947049081325531,1e-04,0.9881207346916199,0.5484094619750977,0.4515904188156128
15,0.9891660213470459,0.6152263879776001,0.3846358358860016,1e-04,0.9872303009033203,0.5382247567176819,0.46177518367767334
16,0.9906771779060364,0.6482560634613037,0.351314514875412,1e-04,0.9884801506996155,0.5602478981018066,0.43975213170051575
17,0.9904527068138123,0.6713612079620361,0.3275080621242523,1e-05,0.9884682893753052,0.5239967107772827,0.4760033190250397
18,0.9910421371459961,0.6910226345062256,0.3095015287399292,1e-05,0.9884640574455261,0.5628453493118286,0.4371546506881714
